personID,num_Q,AorB,food,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B,r,kappa,sy,sx,bt_pred
F1,7,B,0,3,0,2,1,12,1,2,1,1,4,7,2,0.3968339571073465,-0.1684157830220798,0.11420908704263334,0.28262487006471315,B
F1,8,A,1,4,0,5,0,7,2,2,2,2,1,2,3,0.21884383345869102,0.009574340626575695,0.11420908704263336,0.10463474641605766,A
F1,9,B,1,3,1,3,1,5,3,4,1,1,4,3,1,0.5047871703132879,-0.5047871703132879,0.0,0.5047871703132879,B
F1,10,A,1,1,0,0,5,7,0,3,1,3,0,5,2,0.6952890416353273,0.6827772939619434,0.6890331677986354,0.006255873836691961,A
F1,11,B,1,2,1,5,1,9,2,3,0,2,3,9,0,0.4189200454073061,-0.4064082977339222,0.006255873836691961,0.41266417157061414,B
F1,12,B,0,0,2,2,3,4,3,2,1,0,5,7,0,0.5331291324499394,-0.5206173847765556,0.006255873836691905,0.5268732586132475,B
F1,13,B,1,2,1,0,0,4,3,4,0,2,1,10,1,0.3267970466646324,-0.31428529899124846,0.006255873836691961,0.3205411728279404,B
F1,14,A,1,0,1,3,1,11,0,1,1,2,3,3,0,0.18424599748534745,-0.18424599748534745,0.0,0.18424599748534745,B
F1,15,A,0,2,2,4,1,12,1,1,2,4,0,9,2,0.2063320857853071,0.2063320857853071,0.2063320857853071,0.0,A
F1,16,A,0,4,0,3,1,10,0,1,2,4,1,12,2,0.24092992175865063,0.21590642641188273,0.22841817408526668,0.01251174767338395,A
F1,17,A,1,1,0,5,1,8,2,0,2,5,0,2,0,0.33305292050132435,-0.1488069230159769,0.09212299874267373,0.24092992175865063,B
F1,18,A,1,0,2,5,1,0,2,3,2,1,2,2,1,0.2063320857853071,-0.2063320857853071,0.0,0.2063320857853071,B
F1,19,A,1,2,1,4,1,6,0,1,2,3,1,7,2,0.23467404792195865,0.22216230024857472,0.22841817408526668,0.006255873836691961,A
F1,20,B,0,2,1,1,1,3,0,1,2,2,1,9,0,0.006255873836691971,-0.006255873836691971,0.0,0.006255873836691971,B
F1,21,B,1,0,0,0,2,12,3,3,2,5,1,12,2,0.21884383345869102,-0.034597835973343566,0.09212299874267373,0.1267208347160173,B
F1,22,B,1,0,1,3,1,4,3,0,2,3,0,3,1,0.3267970466646324,-0.14255104917928496,0.09212299874267371,0.23467404792195867,B
